Label,Time
Attentiongetter,0
Trial 1,6567
Trial 2,8600
Trial 3,10600
Trial 4,12633
Trial 5,14633
Trial 6,16667
Trial 7,18667
Trial 8,20700
Trial 9,22700
Trial 10,24733
Trial 11,26733
Trial 12,28766
Trial 13,30766
Trial 14,32799
Trial 15,34799
Trial 16,36832
Trial 17,38832
Trial 18,40865
Trial 19,42865
Trial 20,44898
Trial 21,46898
Trial 22,48931
Trial 23,50931
Trial 24,52964
Trial 25,54964
Trial 26,56997
Trial 27,58997
Trial 28,61030
Trial 29,63030
Trial 30,65063
Attentiongetter,67063
Trial 31,72000
Trial 32,74000
Trial 33,76033
Trial 34,78033
Trial 35,80066
Trial 36,82066
Trial 37,84099
Trial 38,86099
Trial 39,88132
Trial 40,90132
Trial 41,92165
Trial 42,94165
Trial 43,96198
Trial 44,98198
Trial 45,100231
Attentiongetter,102267
Trial 46,109433
Trial 47,111433
Trial 48,113466
Trial 49,115466
Trial 50,117499
Trial 51,119499
Trial 52,121532
Trial 53,123532
Trial 54,125565
Trial 55,127565
Trial 56,129598
Trial 57,131598
Trial 58,133631
Trial 59,135631
Trial 60,137664
Attentiongetter,139677
Trial 61,149500
Trial 62,151500
Trial 63,153533
Trial 64,155533
Trial 65,157566
Trial 66,159566
Trial 67,161599
Trial 68,163599
Trial 69,165632
Trial 70,167632
Trial 71,169665
Trial 72,171665
Trial 73,173698
Trial 74,175698
Trial 75,177731